request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
77,BrokerDecisionRequest,1,5520,5520,2986;-1;-1,2971;-1;-1,,,,,143.9257293494437,1571.4022146764878,0:t_wait:282.5871709173434;t_drive:173.92572934944383;fare:157;add_fleet_vmt:4619.469366306255;chosen_by_broker:False|1:t_wait:68.46761277137375;t_drive:173.92572934944383;fare:157;add_fleet_vmt:1571.4022146764876;chosen_by_broker:True,,,1,4,5588.467612771374,5762.393342120814,157,0
79,BrokerDecisionRequest,1,5520,5520,2978;-1;-1,2975;-1;-1,,,,,159.65721537951197,1267.7773662578381,0:t_wait:281.2506428399174;t_drive:189.6572153795123;fare:126;add_fleet_vmt:4724.002720673517;chosen_by_broker:False|1:t_wait:79.08939415911755;t_drive:189.6572153795123;fare:126;add_fleet_vmt:1949.8420509171506;chosen_by_broker:True,,,1,1,5599.0893941591185,5820.749649538631,126,0
83,BrokerDecisionRequest,1,5580,5580,2975;-1;-1,2976;-1;-1,,,,,43.17503937342681,359.7919947785567,0:t_wait:276.27399879085806;t_drive:73.17503937342644;fare:35;add_fleet_vmt:3669.4997154520725;chosen_by_broker:True|1:,,,0,2,5856.273998790857,5929.4490381642845,35,0
78,BrokerDecisionRequest,1,5520,5520,2970;-1;-1,2980;-1;-1,,,,,190.4137294263278,2063.6293026972103,0:t_wait:106.77085137296035;t_drive:220.41372942632825;fare:206;add_fleet_vmt:3350.077994888241;chosen_by_broker:False|1:t_wait:153.93525830672388;t_drive:220.41372942632825;fare:206;add_fleet_vmt:3342.1297737301948;chosen_by_broker:True,,,1,2,5673.935258306722,5894.348987733051,206,0
82,BrokerDecisionRequest,1,5580,5580,2966;-1;-1,2970;-1;-1,,,,,180.9694378426999,1660.3445869925658,0:t_wait:154.03520157294588;t_drive:210.96943784270024;fare:166;add_fleet_vmt:3013.085843577546;chosen_by_broker:True|1:t_wait:282.02391811891266;t_drive:210.96943784270024;fare:166;add_fleet_vmt:3292.6062952049333;chosen_by_broker:False,,,0,1,5734.035201572945,5945.004639415647,166,0
84,BrokerDecisionRequest,1,5700,5700,2974;-1;-1,2987;-1;-1,,,,,48.51319330375963,673.7943514411061,0:t_wait:264.1583650770053;t_drive:78.51319330375918;fare:67;add_fleet_vmt:2192.1756709607175;chosen_by_broker:False|1:t_wait:194.8002550555084;t_drive:78.51319330375918;fare:67;add_fleet_vmt:1930.0355018220484;chosen_by_broker:True,,,1,0,5909.983232618476,5988.496425922236,67,0
86,BrokerDecisionRequest,1,5760,5760,2969;-1;-1,2990;-1;-1,,,,,79.63238283086302,728.142628879116,0:t_wait:59.78738858299948;t_drive:109.63238283086321;fare:72;add_fleet_vmt:1558.5230258652139;chosen_by_broker:False|1:t_wait:119.37740374478471;t_drive:109.63238283086321;fare:72;add_fleet_vmt:1558.5230258652136;chosen_by_broker:True,,,1,3,5879.377403744783,5989.009786575647,72,0
81,BrokerDecisionRequest,1,5580,5580,2984;-1;-1,2969;-1;-1,,,,,208.85791372548653,2002.5915757571302,0:t_wait:278.3249314716277;t_drive:238.85791372548647;fare:200;add_fleet_vmt:4826.307548372613;chosen_by_broker:False|1:t_wait:141.2747701767139;t_drive:326.5665651540585;fare:200;add_fleet_vmt:1921.2316763125818;chosen_by_broker:True,,,1,1,5721.274770176713,6047.8413353307715,200,0
85,BrokerDecisionRequest,1,5700,5700,2971;-1;-1,2978;-1;-1,,,,,247.42003057313076,2561.389988109423,0:t_wait:175.76481226678698;t_drive:277.42003057313104;fare:256;add_fleet_vmt:4422.7883544156775;chosen_by_broker:False|1:t_wait:115.97742368378749;t_drive:277.42003057313104;fare:256;add_fleet_vmt:3592.4079574295797;chosen_by_broker:True,,,1,4,5762.393342120814,6039.813372693945,256,0
80,BrokerDecisionRequest,1,5520,5520,2978;-1;-1,2993;-1;-1,,,,,269.9089527131265,3392.4163615988246,0:t_wait:281.2506428399174;t_drive:299.9089527131264;fare:339;add_fleet_vmt:6848.641716014503;chosen_by_broker:True|1:,,,0,4,5801.250642839921,6101.159595553045,339,0
87,BrokerDecisionRequest,1,6060,6060,2978;-1;-1,2981;-1;-1,,,,,68.97806069802537,459.0023153406877,0:t_wait:78.14149886977066;t_drive:98.97806069802573;fare:45;add_fleet_vmt:1110.18147258878;chosen_by_broker:False|1:t_wait:9.813372693944984;t_drive:98.97806069802573;fare:45;add_fleet_vmt:459.0023153406877;chosen_by_broker:True,,,1,4,6069.813372693945,6168.791433391969,45,0
88,BrokerDecisionRequest,1,6240,6240,2974;-1;-1,2982;-1;-1,,,,,144.42734698804207,1300.2674156418354,0:t_wait:101.0044173229071;t_drive:174.4273469880418;fare:130;add_fleet_vmt:2262.98121687696;chosen_by_broker:False|1:t_wait:50.704534696240444;t_drive:174.4273469880418;fare:130;add_fleet_vmt:2004.4970642007293;chosen_by_broker:True,,,1,0,6290.704534696241,6465.131881684285,130,0
89,BrokerDecisionRequest,1,6420,6420,2992;-1;-1,2980;-1;-1,,,,,198.06309279928786,2377.7959948882412,0:t_wait:0;t_drive:228.06309279928792;fare:237;add_fleet_vmt:2377.7959948882412;chosen_by_broker:True|1:t_wait:54.27810741700068;t_drive:228.06309279928792;fare:237;add_fleet_vmt:3131.6585979021434;chosen_by_broker:False,,,0,3,6420,6648.06309279929,237,0
90,BrokerDecisionRequest,1,6540,6540,2982;-1;-1,2983;-1;-1,,,,,47.50530195645062,395.8775163037552,0:t_wait:48.02780821937358;t_drive:77.50530195645024;fare:39;add_fleet_vmt:796.1092514652021;chosen_by_broker:False|1:t_wait:0;t_drive:77.50530195645024;fare:39;add_fleet_vmt:395.8775163037552;chosen_by_broker:True,,,1,0,6540,6617.505301956449,39,0
94,BrokerDecisionRequest,1,6660,6660,2968;-1;-1,2991;-1;-1,,,,,33.2441435462937,461.72421592074585,0:t_wait:211.90992308787827;t_drive:63.244143546293344;fare:46;add_fleet_vmt:3256.5177278923907;chosen_by_broker:False|1:t_wait:54.595246475025306;t_drive:63.244143546293344;fare:46;add_fleet_vmt:1219.99152807388;chosen_by_broker:True,,,1,1,6714.5952464750235,6777.839390021317,46,0
91,BrokerDecisionRequest,1,6600,6600,2973;-1;-1,2982;-1;-1,,,,,189.2132879652384,1922.294373658451,0:t_wait:142.89744485132178;t_drive:219.21328796523812;fare:192;add_fleet_vmt:3357.604240138002;chosen_by_broker:True|1:t_wait:153.95048481041977;t_drive:219.21328796523812;fare:192;add_fleet_vmt:3449.712906463818;chosen_by_broker:False,,,0,1,6742.897444851321,6962.110732816562,192,0
95,BrokerDecisionRequest,1,6840,6840,2985;-1;-1,2987;-1;-1,,,,,62.67184160512741,870.4422445156586,0:t_wait:63.272022735824976;t_drive:92.67184160512716;fare:87;add_fleet_vmt:1410.1941526762303;chosen_by_broker:True|1:t_wait:77.75857475413977;t_drive:92.67184160512716;fare:87;add_fleet_vmt:1530.9154194955156;chosen_by_broker:False,,,0,2,6903.272022735826,6995.943864340954,87,0
