sim_time,reservation_time_trigger,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
2460,0.0,0.03924441337585449,0.01811504364013672,0.02617478370666504,0.003024578094482422,7,7,13,0,3,2,0.12148,0.08863
2520,0.0,0.03254818916320801,0.02670907974243164,0.04691910743713379,0.003045320510864258,6,5,9,0,3,2,0.11149,0.11103
2580,0.0,0.03146195411682129,0.0,0.023882389068603516,0.011573314666748047,4,6,15,0,3,2,0.05497,0.07011
2640,0.0,0.0,0.0010156631469726562,0.0,0.0029730796813964844,12,8,8,0,2,3,0.0,0.00522
2700,0.0,0.029073476791381836,0.0016052722930908203,0.013670921325683594,0.002946138381958008,7,6,12,0,3,3,0.05909,0.04915
2760,0.0,0.03354692459106445,0.0,0.015394449234008789,0.0030760765075683594,4,3,20,0,4,2,0.04173,0.05419
2820,0.0,0.0,0.007543325424194336,0.0,0.0030307769775390625,9,9,9,0,2,4,0.0,0.0123
2880,0.0,0.07894444465637207,0.0045812129974365234,0.004580020904541016,0.001764535903930664,3,5,8,0,2,5,0.15572999999999998,0.09293
2940,0.0,0.03433632850646973,0.011729001998901367,0.006761074066162109,0.0033431053161621094,5,7,11,0,3,4,0.03939,0.05891
3000,0.0,0.014045000076293945,0.02314281463623047,0.006472349166870117,0.0015811920166015625,8,9,15,0,4,2,0.01502,0.04796
3060,0.0,0.0645909309387207,0.028778553009033203,0.07266354560852051,0.0031075477600097656,7,8,23,0,6,1,0.14495,0.17204
3120,0.0,0.0,0.012543201446533203,0.001010894775390625,0.0020744800567626953,14,13,13,0,4,2,0.0,0.01912
3180,0.0,0.0,0.01581096649169922,0.0010178089141845703,0.007734537124633789,6,6,6,0,1,5,0.0,0.02646
3240,0.0,0.0,0.0,0.0,0.002944469451904297,4,4,4,0,0,5,0.0,0.00443
3300,0.0,0.0326688289642334,0.0,0.02365422248840332,0.0015020370483398438,4,4,8,0,1,5,0.03287,0.05979
3360,0.0,0.01574563980102539,0.0,0.02507615089416504,0.003683805465698242,4,6,10,0,1,6,0.04317,0.04552
3420,0.0,0.035559654235839844,0.0,0.01703357696533203,0.003056049346923828,2,2,5,0,1,4,0.04886,0.05649
3480,0.0,0.0,0.0004551410675048828,0.01702404022216797,0.0026540756225585938,5,4,4,0,1,3,0.0,0.02159
3540,0.0,0.0,0.0,0.0,0.00302886962890625,3,3,3,0,0,4,0.0,0.00413
3600,0.0,0.045404911041259766,0.0,0.027174711227416992,0.0030274391174316406,2,2,9,0,2,3,0.12036,0.07714
3660,0.0,0.0,0.0,0.0,0.003153562545776367,5,5,5,0,1,3,0.0,0.00502
3720,0.0,0.01881265640258789,0.0,0.0110015869140625,0.0031235218048095703,4,5,9,0,2,3,0.05853,0.03535
3780,0.0,0.0,0.0,0.0015521049499511719,0.0015561580657958984,2,2,2,0,1,1,0.0,0.00429
3840,0.0,0.10317325592041016,0.003161191940307617,0.011400938034057617,0.002996683120727539,1,3,12,0,3,2,0.13246,0.12226
3900,0.0,0.0,0.021193742752075195,0.0,0.0029129981994628906,12,10,10,0,3,2,0.0,0.02607
3960,0.0,0.0,0.022156953811645508,0.0,0.004809856414794922,10,10,10,0,3,2,0.0,0.02821
4020,0.0,0.0,0.0,0.0,0.0015444755554199219,4,4,4,0,1,4,0.0,0.0047
4080,0.0,0.0,0.0,0.0015633106231689453,0.0016274452209472656,3,3,3,0,0,3,0.0,0.00517
4140,0.0,0.0,0.0,0.0,0.003139972686767578,3,3,3,0,0,3,0.0,0.00377
