sim_time,reservation_time_trigger,charging_strategy,dyn_fleetsizing_strategy,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
3060,0.0,0.0,0.0,0.030710697174072266,0.0,0.0,0.0015330314636230469,0.0,0.0,0.0,0,2,0,0.17070000000000002,0.07033
3120,0.0,0.0,0.0,0.0,0.0,0.0,0.003117799758911133,0.0,0.0,0.0,0,2,0,0.0,0.02357
3180,0.0,0.0,0.0,0.0,0.0,0.0,0.0031232833862304688,0.0,0.0,0.0,0,2,0,0.0,0.00818
3240,0.0,0.042,0.0,0.0,0.0,0.0,0.003107786178588867,0.0,0.0,0.0,0,2,0,0.0,0.02824
3300,0.0,0.0,0.0,0.0015478134155273438,0.0,0.0,0.0015141963958740234,0.0,0.0,0.0,0,0,2,0.02648,0.0113
3360,0.0,0.0,0.0,0.0,0.0,0.0,0.001527547836303711,0.0,0.0,0.0,0,0,2,0.03154,0.01047
3420,0.0,0.0,0.0,0.0,0.0,0.0,0.0031464099884033203,0.0,0.0,0.0,0,0,2,0.03946,0.01153
3480,0.0,0.0,0.0,0.0015721321105957031,0.0,0.0,0.0031478404998779297,0.0,0.0,0.0,0,0,2,0.0,0.00693
3540,0.0,0.0,0.0,0.0015535354614257812,0.0,0.0,0.0016703605651855469,0.0,0.0,0.0,0,0,1,0.0,0.00825
3600,0.0,0.0,0.001,0.0,0.0,0.0,0.0015621185302734375,0.0,0.0,0.0,0,0,1,0.06597,0.00686
3660,0.0,0.0,0.0,0.0005047321319580078,0.0,0.0,0.003095865249633789,0.0,0.0,0.0,0,0,1,0.0,0.01565
3720,0.0,0.0,0.0,0.03692626953125,0.0,0.0,0.0031709671020507812,0.0,0.0,0.0,0,1,1,0.05348,0.06615
3780,0.0,0.0,0.0,0.0015521049499511719,0.0,0.0,0.003124713897705078,0.0,0.0,0.0,0,1,1,0.0,0.01339
3840,0.0,0.0,0.0,0.054177045822143555,0.0,0.0,0.0030591487884521484,0.0,0.0,0.0,0,3,1,0.28394,0.17796
3900,0.0,0.0,0.0,0.0,0.0,0.0,0.003138303756713867,0.0,0.0,0.0,0,2,1,0.0,0.04476
3960,0.0,0.0,0.0,0.0,0.0,0.0,0.0025327205657958984,0.0,0.0,0.0,0,2,1,0.0,0.02276
4020,0.0,0.0,0.0,0.0005056858062744141,0.0,0.0,0.002540111541748047,0.0,0.0,0.0,0,0,3,0.0,0.01767
4080,0.0,0.0,0.0,0.0,0.0,0.0,0.002021312713623047,0.0,0.0,0.0,0,0,3,0.0,0.01154
4140,0.0,0.0,0.0,0.0010082721710205078,0.0,0.0,0.0020210742950439453,0.0,0.0,0.0,0,0,2,0.0,0.00771
4200,0.0,0.0,0.0,0.0015130043029785156,0.0,0.0,0.0015141963958740234,0.0,0.0,0.0,0,0,1,0.0,0.006
4260,0.0,0.053,0.0,0.03224062919616699,0.0,0.0,0.0025277137756347656,0.0,0.0,0.0,0,1,0,0.03269,0.06363
4320,0.0,0.119,0.0,0.040781497955322266,0.0,0.0,0.0030307769775390625,0.0,0.0,0.0,0,2,1,0.09229,0.18477
4380,0.0,0.0,0.0,0.0005078315734863281,0.0,0.0,0.003107786178588867,0.0,0.0,0.0,0,0,3,0.0395,0.02834
4440,0.0,0.0,0.0,0.023194313049316406,0.0,0.0,0.0015342235565185547,0.0,0.0,0.0,0,1,3,0.06681000000000001,0.103
4500,0.0,0.0,0.0,0.0010061264038085938,0.0,0.0,0.0025255680084228516,0.0,0.0,0.0,0,1,3,0.0,0.03233
4560,0.0,0.0,0.0,0.0010068416595458984,0.0,0.0,0.0031728744506835938,0.0,0.0,0.0,0,1,3,0.04886,0.02023
4620,0.0,0.066,0.0,0.0312957763671875,0.0,0.0,0.003128528594970703,0.0,0.0,0.0,0,2,4,0.1447,0.16822
4680,0.0,0.0,0.0,0.0010101795196533203,0.0,0.0,0.0020186901092529297,0.0,0.0,0.0,0,1,4,0.06148,0.01498
4740,0.0,0.0,0.0,0.0005161762237548828,0.0,0.0,0.003085613250732422,0.0,0.0,0.0,0,1,4,0.0,0.01066
4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0030934810638427734,0.0,0.0,0.0,0,1,2,0.0,0.00898
4860,0.0,0.0,0.0,0.0015172958374023438,0.0,0.0,0.001558542251586914,0.0,0.0,0.0,0,1,2,0.02829,0.01715
4920,0.0,0.0,0.0,0.0015153884887695312,0.0,0.0,0.0030286312103271484,0.0,0.0,0.0,0,1,2,0.057359999999999994,0.01336
4980,0.0,0.0,0.0,0.0010061264038085938,0.0,0.0,0.0020194053649902344,0.0,0.0,0.0,0,1,2,0.06884,0.00779
5040,0.0,0.0,0.0,0.0010094642639160156,0.0,0.0,0.0031211376190185547,0.0,0.0,0.0,0,1,1,0.0,0.03196
5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0031273365020751953,0.0,0.0,0.0,0,0,2,0.08109,0.0082
5160,0.0,0.062,0.0,0.034227848052978516,0.0,0.0,0.003101348876953125,0.0,0.0,0.0,0,1,1,0.05263,0.06596
5220,0.0,0.0,0.0,0.001539468765258789,0.0,0.0,0.003108978271484375,0.0,0.0,0.0,0,0,1,0.02662,0.02092
5280,0.0,0.0,0.0,0.0015475749969482422,0.0,0.0,0.001598358154296875,0.0,0.0,0.0,0,0,1,0.0,0.00995
5340,0.0,0.0,0.0,0.0015163421630859375,0.0,0.0,0.003038167953491211,0.0,0.0,0.0,0,0,1,0.0,0.00987
5400,0.0,0.0,0.017,0.03283858299255371,0.0,0.0,0.0030307769775390625,0.0,0.0,0.0,0,1,1,0.0665,0.06521
5460,0.0,0.0,0.0,0.0015935897827148438,0.0,0.0,0.0020465850830078125,0.0,0.0,0.0,0,0,2,0.08614,0.01604
5520,0.0,0.0,0.0,0.029962778091430664,0.0,0.0,0.003206491470336914,0.0,0.0,0.0,0,1,2,0.11026,0.07121
5580,0.0,0.0,0.0,0.0,0.0,0.0,0.001554727554321289,0.0,0.0,0.0,0,1,2,0.0857,0.00964
5640,0.0,0.0,0.0,0.0,0.0,0.0,0.0035893917083740234,0.0,0.0,0.0,0,1,2,0.0,0.01542
5700,0.0,0.0,0.0,0.0015728473663330078,0.0,0.0,0.001573324203491211,0.0,0.0,0.0,0,1,1,0.11091999999999999,0.00838
5760,0.0,0.0,0.0,0.0,0.0,0.0,0.002051115036010742,0.0,0.0,0.0,0,1,1,0.05301,0.01888
5820,0.0,0.0,0.0,0.0005078315734863281,0.0,0.0,0.0016047954559326172,0.0,0.0,0.0,0,0,2,0.0,0.01231
5880,0.0,0.0,0.0,0.0,0.0,0.0,0.003201723098754883,0.0,0.0,0.0,0,0,2,0.0,0.01382
5940,0.0,0.0,0.0,0.0,0.0,0.0,0.003206491470336914,0.0,0.0,0.0,0,0,2,0.0,0.00804
6000,0.0,0.0,0.0,0.0015473365783691406,0.0,0.0,0.0031311511993408203,0.0,0.0,0.0,0,0,1,0.0,0.00686
6060,0.0,0.045,0.0,0.026594877243041992,0.0,0.0,0.002027273178100586,0.0,0.0,0.0,0,1,1,0.02643,0.04268
6120,0.0,0.0,0.0,0.0005054473876953125,0.0,0.0,0.0031392574310302734,0.0,0.0,0.0,0,0,1,0.0,0.02298
6180,0.0,0.0,0.0,0.0,0.0,0.0,0.0015480518341064453,0.0,0.0,0.0,0,0,1,0.0,0.00786
6240,0.0,0.0,0.0,0.0015115737915039062,0.0,0.0,0.0025534629821777344,0.0,0.0,0.0,0,0,1,0.03733,0.00723
6300,0.0,0.0,0.0,0.0015490055084228516,0.0,0.0,0.0015728473663330078,0.0,0.0,0.0,0,0,1,0.0,0.00767
6360,0.0,0.0,0.0,0.0,0.0,0.0,0.0015573501586914062,0.0,0.0,0.0,0,0,1,0.0,0.00644
6420,0.0,0.045,0.0,0.03823399543762207,0.0,0.0,0.0025246143341064453,0.0,0.0,0.0,0,1,0,0.03908,0.05957
6480,0.0,0.0,0.0,0.0,0.0,0.0,0.003040790557861328,0.0,0.0,0.0,0,0,1,0.0,0.00929
6540,0.0,0.0,0.0,0.0,0.0,0.0,0.003033161163330078,0.0,0.0,0.0,0,0,1,0.02611,0.01546
6600,0.0,0.0,0.0,0.0,0.0,0.0,0.0030324459075927734,0.0,0.0,0.0,0,0,1,0.08131,0.01414
6660,0.0,0.0,0.0,0.0005102157592773438,0.0,0.0,0.001512765884399414,0.0,0.0,0.0,0,0,1,0.095,0.00892
6720,0.0,0.0,0.0,0.0,0.0,0.0,0.0016307830810546875,0.0,0.0,0.0,0,0,1,0.0,0.00711
6780,0.0,0.0,0.0,0.0,0.0,0.0,0.003101825714111328,0.0,0.0,0.0,0,0,1,0.0,0.00671
6840,0.0,0.0,0.0,0.0,0.0,0.0,0.002056598663330078,0.0,0.0,0.0,0,0,0,0.06523999999999999,0.00487
6900,0.0,0.0,0.0,0.0,0.0,0.0,0.0015311241149902344,0.0,0.0,0.0,0,0,0,0.058730000000000004,0.00513
6960,0.0,0.0,0.0,0.0,0.0,0.0,0.003140687942504883,0.0,0.0,0.0,0,0,0,0.0,0.00549
7020,0.0,0.0,0.0,0.0005059242248535156,0.0,0.0,0.001512289047241211,0.0,0.0,0.0,0,0,0,0.0,0.00546
7080,0.0,0.0,0.0,0.00151824951171875,0.0,0.0,0.002019643783569336,0.0,0.0,0.0,0,0,0,0.0,0.00521
7140,0.0,0.0,0.0,0.0,0.0,0.0,0.0015566349029541016,0.0,0.0,0.0,0,0,0,0.04272,0.00541
