request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
27,BasicRequest,1,2040,2040,2969;-1;-1,2993;-1;-1,,,,,75.16881497004519,1044.011319028405,0:t_wait:133.26961265961972;t_drive:135.16881497004488;fare:104;vid:2,,,0,2,2173.26961265962,2308.438427629666,104,0
26,BasicRequest,1,2040,2040,2991;-1;-1,2993;-1;-1,,,,,56.75290494872581,788.2347909545251,0:t_wait:181.6855226809389;t_drive:86.7529049487257;fare:100;vid:2,,,0,2,2221.68552268094,2308.438427629666,100,0
29,BasicRequest,1,2160,2160,2981;-1;-1,2976;-1;-1,,,,,135.07555748348486,1148.6160456957073,0:t_wait:83.15932049128014;t_drive:165.07555748348477;fare:114;vid:1,,,0,1,2243.15932049128,2408.2348779747654,114,0
28,BasicRequest,1,2100,2100,2973;-1;-1,2981;-1;-1,,,,,178.24268845651838,1853.8591110857842,0:t_wait:202.91190425413515;t_drive:208.2426884565184;fare:185;vid:0,,,0,0,2302.911904254136,2511.154592710656,185,0
30,BasicRequest,1,2280,2280,2986;-1;-1,2984;-1;-1,,,,,83.35824565445503,777.242669599201,0:t_wait:111.94455948550967;t_drive:113.358245654455;fare:100;vid:4,,,0,4,2391.9445594855088,2505.3028051399633,100,0
32,BasicRequest,1,2400,2400,2981;-1;-1,2969;-1;-1,,,,,173.93680390219876,2279.3367272297323,0:t_wait:111.15459271065492;t_drive:203.9368039021988;fare:227;vid:0,,,0,0,2511.154592710656,2715.0913966128546,227,0
34,BasicRequest,1,2520,2520,2990;-1;-1,2970;-1;-1,,,,,11.053039959097989,92.10866632581656,0:t_wait:216.92598969631308;t_drive:41.05303995909799;fare:100;vid:4,,,0,4,2736.9259896963117,2777.97902965541,100,0
33,BasicRequest,1,2460,2460,2992;-1;-1,2986;-1;-1,,,,,282.5871709173432,3048.067151629767,0:t_wait:100.90473244695522;t_drive:312.587170917343;fare:304;vid:2,,,0,2,2560.904732446956,2873.491903364299,304,0
31,BasicRequest,1,2340,2340,2989;-1;-1,2978;-1;-1,,,,,246.70419219894586,2555.4246683245487,0:t_wait:193.31525508792765;t_drive:276.70419219894575;fare:255;vid:2,,,0,1,2638.801868476687,2915.506060675634,255,0
37,BasicRequest,1,2760,2760,2970;-1;-1,2972;-1;-1,,,,,108.45391655041928,956.9275289670157,0:t_wait:17.979029655409704;t_drive:138.4539165504193;fare:100;vid:4,,,0,4,2777.97902965541,2916.4329462058304,100,0
35,BasicRequest,1,2580,2580,2990;-1;-1,2988;-1;-1,,,,,136.17123910667578,1181.7688504120974,0:t_wait:156.92598969631308;t_drive:196.17123910667578;fare:118;vid:4,,,0,4,2736.9259896963117,2949.0956973744173,118,0
38,BasicRequest,1,2880,2880,2993;-1;-1,2972;-1;-1,,,,,192.06001237033513,2183.785505143543,0:t_wait:75.16881497004533;t_drive:222.06001237033524;fare:218;vid:0,,,0,0,2955.168814970046,3177.2288273403806,218,0
36,BasicRequest,1,2700,2700,2972;-1;-1,2985;-1;-1,,,,,147.11132383387394,1272.6774024545982,0:t_wait:216.432946205829;t_drive:212.75813983387388;fare:127;vid:4,,,0,4,2916.4329462058304,3129.1910860397034,127,0
41,BasicRequest,1,3000,3000,2977;-1;-1,2982;-1;-1,,,,,83.40450190054383,577.1723729807225,0:t_wait:79.67189809945603;t_drive:113.40450190054389;fare:100;vid:3,,,0,3,3079.671898099455,3193.0764,100,0
40,BasicRequest,1,2940,2940,2990;-1;-1,2981;-1;-1,,,,,207.20330926693822,2611.7286438911515,0:t_wait:230.37222124957862;t_drive:237.20330926693805;fare:261;vid:1,,,0,1,3170.3722212495773,3407.5755305165167,261,0
42,BasicRequest,1,3060,3060,2986;-1;-1,2970;-1;-1,,,,,208.5752713127597,2037.3895405612639,0:t_wait:119.90012405693733;t_drive:238.57527131275992;fare:203;vid:4,,,0,4,3179.900124056936,3418.4753953696973,203,0
43,BasicRequest,1,3060,3060,2973;-1;-1,2978;-1;-1,,,,,189.79905861563583,1927.1757957450964,0:t_wait:181.67235564128305;t_drive:219.79905861563566;fare:192;vid:0,,,0,0,3241.672355641283,3461.4714142569196,192,0
44,BasicRequest,1,3060,3060,2967;-1;-1,2981;-1;-1,,,,,220.37879558062934,2961.6368211428808,0:t_wait:135.88755697569923;t_drive:250.37879558062923;fare:296;vid:2,,,0,2,3195.8875569757,3446.26635255633,296,0
39,BasicRequest,1,2880,2880,2992;-1;-1,2982;-1;-1,,,,,275.14926418952024,3428.3669323290324,0:t_wait:248.87022844695593;t_drive:305.1492641895202;fare:342;vid:2,,,0,2,3128.8702284469573,3529.1811040650505,342,0
46,BasicRequest,1,3360,3360,2976;-1;-1,2987;-1;-1,,,,,125.94386434095271,1410.1941526762305,0:t_wait:58.046219689050304;t_drive:155.9438643409526;fare:141;vid:3,,,0,3,3418.04621968905,3573.9900840300024,141,0
49,BasicRequest,1,3600,3600,2983;-1;-1,2977;-1;-1,,,,,14.744653285862693,122.87211071552242,0:t_wait:47.505301956450694;t_drive:44.74465328586257;fare:100;vid:2,,,0,2,3647.5053019564502,3692.249955242313,100,0
45,BasicRequest,1,3300,3300,2982;-1;-1,2971;-1;-1,,,,,289.8986440772667,2915.378433977222,0:t_wait:0;t_drive:319.8986440772669;fare:291;vid:3,,,0,3,3300.0,3722.2355217915524,291,0
47,BasicRequest,1,3420,3420,2971;-1;-1,2985;-1;-1,,,,,186.57127949046634,1654.6552573063896,0:t_wait:97.46935626352433;t_drive:216.57127949046617;fare:165;vid:4,,,0,4,3517.469356263525,3734.040635753991,165,0
52,BasicRequest,1,3840,3840,2969;-1;-1,2992;-1;-1,,,,,54.27810741700095,753.8626030139021,0:t_wait:123.78776031621192;t_drive:84.27810741700114;fare:100;vid:3,,,0,3,3963.7877603162124,4048.065867733214,100,0
50,BasicRequest,1,3720,3720,2974;-1;-1,2970;-1;-1,,,,,215.12566102862468,2128.3671755038336,0:t_wait:81.77303034107399;t_drive:245.12566102862456;fare:212;vid:4,,,0,4,3801.7730303410735,4050.5497085125576,212,0
48,BasicRequest,1,3600,3600,2967;-1;-1,2982;-1;-1,,,,,273.2935470893493,3402.5930837155474,0:t_wait:218.2220204193709;t_drive:303.293547089349;fare:340;vid:1,,,0,1,3818.2220204193713,4121.51556750872,340,0
53,BasicRequest,1,3840,3840,2990;-1;-1,2981;-1;-1,,,,,207.20330926693822,2611.7286438911515,0:t_wait:169.4966685534573;t_drive:281.3047492669384;fare:261;vid:4,,,0,4,4009.496668553459,4290.801417820401,261,0
51,BasicRequest,1,3840,3840,2966;-1;-1,2988;-1;-1,,,,,278.91382899027775,2634.7327710788463,0:t_wait:269.56299811891404;t_drive:308.9138289902776;fare:263;vid:0,,,0,0,4109.562998118913,4434.47529568062,263,0
56,BasicRequest,1,4320,4320,2979;-1;-1,2975;-1;-1,,,,,151.75974624928307,1224.9515235059305,0:t_wait:36.98065825260437;t_drive:181.75974624928313;fare:122;vid:4,,,0,4,4356.9806582526035,4538.740404501889,122,0
55,BasicRequest,1,4320,4320,2972;-1;-1,2991;-1;-1,,,,,134.87611468093908,1408.0867039019317,0:t_wait:81.81254451203313;t_drive:194.87611468093928;fare:140;vid:0,,,0,0,4401.812544512032,4596.688659192969,140,0
54,BasicRequest,1,4260,4260,2977;-1;-1,2992;-1;-1,,,,,290.68994856816636,2881.77744065169,0:t_wait:0;t_drive:320.6899485681661;fare:288;vid:2,,,0,2,4260.0,4580.689948568164,288,0
57,BasicRequest,1,4380,4380,2983;-1;-1,2966;-1;-1,,,,,323.34893081286066,2424.2986565656774,0:t_wait:47.50530195645024;t_drive:353.348930812861;fare:242;vid:1,,,0,1,4427.505301956449,4780.854232769311,242,0
59,BasicRequest,1,4440,4440,2990;-1;-1,2981;-1;-1,,,,,207.20330926693822,2611.7286438911515,0:t_wait:139.41977141386178;t_drive:237.20330926693805;fare:261;vid:3,,,0,3,4579.419771413864,4816.623080680803,261,0
62,BasicRequest,1,4620,4620,2991;-1;-1,2987;-1;-1,,,,,221.9190199009194,2598.4939430683253,0:t_wait:6.688659192968771;t_drive:263.50041190091997;fare:259;vid:0,,,0.0,0.0,4626.688659192969,4890.189071093886,259.0,0
