sim_time,reservation_time_trigger,repositioning_strategy,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
2640,0.0,0.0,0.0573580265045166,0.0,0.014054298400878906,0.004738330841064453,13,15,37,0,3,8,0.05988,0.08073
2700,0.0,0.018,0.0629267692565918,0.0035626888275146484,0.02540302276611328,0.003152608871459961,10,10,26,0,3,6,0.07005,0.09799
2760,0.0,0.0,0.11366128921508789,0.008736133575439453,0.07734489440917969,0.004864692687988281,11,16,46,0,5,8,0.17037999999999998,0.20772
2820,0.0,0.0,0.0,0.03449559211730957,0.0,0.0031609535217285156,28,27,27,0,3,10,0.0,0.04202
2880,0.0,0.0,0.0,0.0015997886657714844,0.004717826843261719,0.0031104087829589844,10,9,9,0,1,9,0.0,0.01198
2940,0.0,0.0,0.05929398536682129,0.0,0.026614665985107422,0.0031919479370117188,8,10,26,0,3,8,0.06492,0.09287
3000,0.0,0.018,0.027342796325683594,0.0017631053924560547,0.00637364387512207,0.005621910095214844,9,9,28,0,2,6,0.02904,0.04446
3060,0.0,0.0,0.09595060348510742,0.0,0.03315567970275879,0.004743337631225586,19,15,60,0,5,4,0.09892000000000001,0.13907
3120,0.0,0.0,0.08409380912780762,0.0015232563018798828,0.010687828063964844,0.0040929317474365234,10,13,32,0,3,7,0.12808,0.10385
3180,0.0,0.0,0.0654137134552002,0.0,0.018944978713989258,0.0032165050506591797,12,10,27,0,3,7,0.1266,0.08984
3240,0.0,0.0,0.06828522682189941,0.0,0.029582500457763672,0.004218578338623047,13,12,31,0,4,7,0.06787,0.10434
3300,0.0,0.019,0.0,0.04815268516540527,0.0015616416931152344,0.0030329227447509766,19,16,17,0,3,7,0.0,0.0547
3360,0.0,0.0,0.060044288635253906,0.0,0.03391718864440918,0.006272554397583008,6,8,28,0,3,6,0.08556,0.10266
3420,0.0,0.0,0.041925907135009766,0.01753401756286621,0.04733753204345703,0.0032243728637695312,22,21,34,0,3,6,0.04125,0.11357
3480,0.0,0.0,0.10758686065673828,0.0,0.021793603897094727,0.004879951477050781,10,12,43,0,4,6,0.14143,0.13679
3540,0.0,0.0,0.09849071502685547,0.0,0.029417991638183594,0.0031664371490478516,9,10,39,0,4,7,0.18692999999999999,0.13553
3600,0.0,0.018,0.0,0.0020270347595214844,0.0,0.003217935562133789,15,13,14,0,2,8,0.0,0.00901
3660,0.0,0.0,0.09771609306335449,0.0015959739685058594,0.01581263542175293,0.004696846008300781,12,12,38,0,4,9,0.15583999999999998,0.12204
3720,0.0,0.0,0.0373990535736084,0.00467991828918457,0.02368330955505371,0.0031332969665527344,17,19,32,0,3,9,0.04062,0.07371
3780,0.0,0.0,0.0534207820892334,0.0015850067138671875,0.020717382431030273,0.003391742706298828,8,10,24,0,2,9,0.06675,0.08159
3840,0.0,0.0,0.07380080223083496,0.006493568420410156,0.06943202018737793,0.004798173904418945,14,15,43,0,4,7,0.07644000000000001,0.15709
3900,0.0,0.017,0.02331376075744629,0.0019359588623046875,0.003895998001098633,0.003978729248046875,7,9,17,0,1,8,0.02469,0.03502
3960,0.0,0.0,0.0,0.0,0.0,0.0031337738037109375,7,7,7,0,0,8,0.0,0.0054
4020,0.0,0.0,0.055108070373535156,0.0,0.009340763092041016,0.0031287670135498047,6,6,29,0,2,7,0.05624,0.07061
